Player,Team,League,Pivot_Master,Maestro,Box_to_Box,Age,Nationality,Height,Foot,Market Value,Contract Until,Position,Annual Salary,Release Clause,Diez,Space_Invader,Key_Passer,Creative_Winger,Falso_Nueve,Aerial_Dominator,Lethal_Striker,Valverde_Score
Moisés Caicedo,Chelsea,EPL,99.0,95.8,89.2,23.0,Ecuador,"1,78m",right,€80.000.000,"Jun 30, 2031",Defensive Midfield,€9.250.570.00,€0,,,,,,,,94.7
Morten Frendrup,Genoa,Serie_A,99.0,74.9,87.8,24.0,Denmark,"1,78m",right,€20.000.000,"Jun 30, 2028",Central Midfield,€1.030.000.00,€0,,,,,,,,87.2
Elisha Owusu,Auxerre,Ligue_1,98.9,71.1,79.5,27.0,"Ghana, France","1,82m",right,€3.000.000,"Jun 30, 2027",Defensive Midfield,€720.000.00,€0,,,,,,,,83.2
Ryan Gravenberch,Liverpool,EPL,97.3,88.4,92.3,22.0,"Netherlands, Suriname","1,90m",right,€70.000.000,"Jun 30, 2028",Defensive Midfield,€9.250.570.00,€0,,,,,,,,92.7
Senne Lynen,Werder_Bremen,Bundesliga,96.7,70.9,83.4,26.0,Belgium,"1,85m",right,€9.000.000,-,Defensive Midfield,€1.100.000.00,€0,,,,,,,,83.7
Andrey Santos,Strasbourg,Ligue_1,95.5,82.8,87.8,21.0,Brazil,"1,80m",right,€25.000.000,"Jun 30, 2025",Central Midfield,€900.000.00,€0,,,,,,,,88.7
Cristian Cásseres Jr.,Toulouse,Ligue_1,95.1,79.5,92.5,25.0,Venezuela,"1,76m",right,€5.000.000,"Jun 30, 2027",Central Midfield,,,,,,,,,,89.0
Kaishu Sano,Mainz_05,Bundesliga,93.9,75.7,95.0,24.0,Japan,"1,76m",right,€17.000.000,"Jun 30, 2028",Defensive Midfield,€470.000.00,€0,,,,,,,,88.2
Christian Nørgaard,Brentford,EPL,91.5,77.3,79.3,31.0,Denmark,"1,87m",right,€12.000.000,"Jun 30, 2027",Defensive Midfield,€2.466.819.00,€0,,,,,,,,82.7
Nicolò Rovella,Lazio,Serie_A,91.3,83.4,92.4,23.0,Italy,"1,79m",right,€28.000.000,"Jun 30, 2025",Defensive Midfield,€3.700.000.00,€50.000.000,,,,,,,,89.0
Carlos Baleba,Brighton_and_Hove_Albion,EPL,91.1,76.0,85.6,21.0,Cameroon,"1,79m",left,€35.000.000,"Jun 30, 2028",Defensive Midfield,€770.881.00,€0,,,,,,,,84.2
Anton Stach,Hoffenheim,Bundesliga,90.8,73.8,82.9,26.0,Germany,"1,94m",right,€14.000.000,"Jun 30, 2027",Defensive Midfield,€1.900.000.00,€0,,,,,,,,82.5
Lewis Cook,Bournemouth,EPL,90.4,81.7,85.8,28.0,England,"1,75m",right,€15.000.000,"Jun 30, 2028",Central Midfield,€3.700.228.00,€0,,,,,,,,86.0
