Player,Team,League,Diez,Space_Invader,Age,Nationality,Height,Foot,Market Value,Contract Until,Position,Annual Salary,Release Clause
Romano Schmid,Werder_Bremen,Bundesliga,99.0,89.5,25.0,Austria,"1,68m",right,€15.000.000,-,Attacking Midfield,€360.000.00,€0
Bruno Fernandes,Manchester_United,EPL,98.8,94.7,30.0,Portugal,"1,79m",right,€55.000.000,"Jun 30, 2027",Attacking Midfield,,
Florian Wirtz,Bayer_Leverkusen,Bundesliga,97.7,90.6,22.0,Germany,"1,77m",right,€140.000.000,"Jun 30, 2027",Attacking Midfield,,
Nicolò Barella,Internazionale,Serie_A,95.8,79.1,28.0,Italy,"1,75m",right,€80.000.000,"Jun 30, 2029",Central Midfield,€12.040.000.00,€0
Cole Palmer,Chelsea,EPL,95.1,92.1,22.0,England,"1,85m",left,€130.000.000,"Jun 30, 2033",Attacking Midfield,€8.017.161.00,€0
Pedri,Barcelona,La_Liga,94.0,80.8,22.0,Spain,"1,74m",right,€120.000.000,"Jun 30, 2030",Central Midfield,€12.500.000.00,€1.000.000.000
Mikkel Damsgaard,Brentford,EPL,93.9,82.5,24.0,Denmark,"1,80m",right,€25.000.000,"Jun 30, 2030",Attacking Midfield,€2.158.466.00,€0
Charles De Ketelaere,Atalanta,Serie_A,93.5,73.3,24.0,Belgium,"1,92m",left,€38.000.000,"Jun 30, 2028",Attacking Midfield,€3.210.000.00,€0
Nadiem Amiri,Mainz_05,Bundesliga,92.5,86.4,28.0,Germany,"1,80m",right,€18.000.000,"Jun 30, 2028",Central Midfield,€1.700.000.00,€0
Julian Brandt,Dortmund,Bundesliga,89.2,70.0,29.0,Germany,"1,85m",right,€25.000.000,"Jun 30, 2026",Attacking Midfield,€7.000.000.00,€0
Éderson,Atalanta,Serie_A,88.1,79.7,25.0,Brazil,"1,83m",right,€50.000.000,"Jun 30, 2027",Central Midfield,€2.560.000.00,€0
Xavi Simons,RB_Leipzig,Bundesliga,86.9,74.8,22.0,"Netherlands, Suriname","1,79m",right,€70.000.000,"Jun 30, 2027",Attacking Midfield,€6.000.000.00,€0
Tijjani Reijnders,Milan,Serie_A,85.4,89.0,26.0,Netherlands,"1,85m",right,€50.000.000,"Jun 30, 2030",Central Midfield,€3.850.000.00,€0
Téji Savanier,Montpellier,Ligue_1,85.2,67.3,33.0,France,"1,72m",right,€3.000.000,"Jun 30, 2026",Attacking Midfield,€1.320.000.00,€0
Orkun Kökçü,Benfica,Primeira_Liga,84.6,60.3,24.0,"Türkiye, Netherlands","1,75m",both,€28.000.000,"Jun 30, 2028",Central Midfield,€3.000.000.00,€120.000.000
Henrikh Mkhitaryan,Internazionale,Serie_A,84.3,70.1,36.0,Armenia,"1,77m",both,€4.000.000,"Jun 30, 2026",Central Midfield,€4.870.000.00,€0
Adrien Thomasson,Lens,Ligue_1,84.2,99.0,31.0,"France, Croatia","1,75m",right,€5.000.000,"Jun 30, 2026",Attacking Midfield,€1.080.000.00,€0
Dejan Kulusevski,Tottenham_Hotspur,EPL,82.4,79.3,25.0,"Sweden, North Macedonia","1,86m",left,€60.000.000,"Jun 30, 2028",Attacking Midfield,€6.783.751.00,€0
Morgan Rogers,Aston_Villa,EPL,82.3,76.6,22.0,England,"1,87m",right,€50.000.000,"Jun 30, 2030",Attacking Midfield,,
Martin Ødegaard,Arsenal,EPL,81.6,61.2,26.0,Norway,"1,78m",left,€100.000.000,"Jun 30, 2028",Attacking Midfield,€14.800.912.00,€0
Luciano Acosta,FC_Cincinnati,MLS,80.5,61.1,,,,,,,,,
Corentin Tolisso,Lyon,Ligue_1,80.2,82.3,30.0,"France, Togo","1,81m",right,€10.000.000,"Jun 30, 2027",Central Midfield,€5.450.000.00,€0
Enzo Fernández,Chelsea,EPL,79.9,83.4,24.0,Argentina,"1,78m",right,€75.000.000,"Jun 30, 2032",Central Midfield,€11.100.684.00,€0
Jamal Musiala,Bayern_Munich,Bundesliga,79.1,98.2,22.0,"Germany, England","1,84m",right,€140.000.000,"Jun 30, 2030",Attacking Midfield,€18.870.000.00,€175.000.000
Finn Azaz,Middlesbrough,Championship,79.0,67.1,24.0,"Ireland, England","1,85m",right,€14.000.000,"Jun 30, 2028",Attacking Midfield,€524.199.00,€0
Youri Tielemans,Aston_Villa,EPL,77.5,65.9,27.0,"Belgium, DR Congo","1,77m",right,€35.000.000,"Jun 30, 2027",Central Midfield,,
Lucas Da Cunha,Como,Serie_A,76.6,72.4,23.0,"France, Portugal","1,74m",left,€7.000.000,"Jun 30, 2029",Central Midfield,€770.000.00,€0
Gustavo Hamer,Sheffield_United,Championship,76.5,60.3,27.0,"Netherlands, Brazil","1,69m",right,€15.000.000,"Jun 30, 2027",Central Midfield,€1.850.114.00,€0
Pascal Groß,Dortmund,Bundesliga,76.2,65.6,33.0,Germany,"1,81m",right,€7.000.000,"Jun 30, 2026",Central Midfield,€4.160.000.00,€0
Tom Bischof,Hoffenheim,Bundesliga,75.1,82.3,19.0,Germany,"1,76m",left,€25.000.000,"Jun 30, 2025",Central Midfield,€140.000.00,€0
Declan Rice,Arsenal,EPL,75.0,68.9,26.0,"England, Ireland","1,88m",right,€110.000.000,"Jun 30, 2028",Central Midfield,€14.800.912.00,€0
Joey Veerman,PSV_Eindhoven,Eredivisie,75.0,51.5,26.0,Netherlands,"1,85m",right,€28.000.000,"Jun 30, 2028",Central Midfield,€1.960.000.00,€0
Mattéo Guendouzi,Lazio,Serie_A,74.1,72.7,26.0,"France, Morocco","1,85m",right,€32.000.000,"Jun 30, 2028",Central Midfield,€3.210.000.00,€50.000.000
Kevin De Bruyne,Manchester_City,EPL,74.0,51.0,33.0,Belgium,"1,81m",right,€27.000.000,"Jun 30, 2025",Attacking Midfield,,
Kevin Stöger,Monchengladbach,Bundesliga,73.3,52.1,31.0,Austria,"1,75m",left,€4.500.000,"Jun 30, 2027",Attacking Midfield,€1.420.000.00,€0
Lamine Camara,Monaco,Ligue_1,73.1,74.6,21.0,Senegal,"1,73m",right,€20.000.000,"Jun 30, 2029",Central Midfield,€920.000.00,€0
Evander,Portland_Timbers,MLS,72.6,62.9,,,,,,,,,
Himad Abdelli,Angers,Ligue_1,72.5,89.1,25.0,"Algeria, France","1,85m",right,€7.000.000,"Jun 30, 2026",Attacking Midfield,€120.000.00,€0
Dominik Szoboszlai,Liverpool,EPL,72.2,76.1,24.0,Hungary,"1,87m",right,€80.000.000,"Jun 30, 2028",Central Midfield,€7.400.456.00,€0
Luciano Valente,Groningen,Eredivisie,71.5,60.4,21.0,"Netherlands, Italy","1,89m",right,€2.500.000,"Jun 30, 2028",Attacking Midfield,€250.000.00,€0
Barry Bannan,Sheffield_Wednesday,Championship,71.4,56.1,35.0,Scotland,"1,69m",left,€0,"Jun 30, 2025",Central Midfield,€1.482.463.00,€0
Michel Vlap,Twente,Eredivisie,71.3,62.5,27.0,Netherlands,"1,90m",right,€4.000.000,"Jun 30, 2026",Attacking Midfield,€690.000.00,€0
Jack Rudoni,Coventry_City,Championship,71.1,64.9,23.0,England,"1,85m",left,€8.000.000,"Jun 30, 2028",Central Midfield,€770.881.00,€0
Alexis Mac Allister,Liverpool,EPL,70.5,74.4,26.0,"Argentina, Italy","1,76m",right,€90.000.000,"Jun 30, 2028",Central Midfield,€9.250.570.00,€0
Eberechi Eze,Crystal_Palace,EPL,70.5,81.9,26.0,"England, Nigeria","1,78m",right,€55.000.000,"Jun 30, 2027",Attacking Midfield,,
Rodrigo De Paul,Atletico_Madrid,La_Liga,70.2,56.9,30.0,"Argentina, Italy","1,80m",right,€25.000.000,"Jun 30, 2026",Central Midfield,€6.670.000.00,€0
Fredrik Aursnes,Benfica,Primeira_Liga,69.6,56.0,29.0,Norway,"1,81m",right,€20.000.000,"Jun 30, 2029",Central Midfield,€2.880.000.00,€50.000.000
Ondrej Duda,Hellas_Verona,Serie_A,69.6,66.3,30.0,Slovakia,"1,80m",right,€4.000.000,"Jun 30, 2025",Central Midfield,€1.100.000.00,€0
Sandi Lovrić,Udinese,Serie_A,69.5,68.7,27.0,"Slovenia, Austria","1,80m",right,€8.000.000,"Jun 30, 2027",Central Midfield,€900.000.00,€0
Paul Nebel,Mainz_05,Bundesliga,69.1,80.7,22.0,"Germany, Ireland","1,69m",both,€17.000.000,"Jun 30, 2027",Attacking Midfield,€270.000.00,€0
Kenneth Taylor,Ajax,Eredivisie,69.1,56.1,22.0,Netherlands,"1,82m",left,€23.000.000,"Jun 30, 2027",Central Midfield,€1.200.000.00,€0
Liam Henderson,Empoli,Serie_A,68.8,50.2,29.0,Scotland,"1,83m",right,€1.800.000,"Jun 30, 2025",Central Midfield,€1.480.000.00,€0
Giorgi Chakvetadze,Watford,Championship,68.6,59.5,25.0,Georgia,"1,83m",right,€4.000.000,"Jun 30, 2029",Attacking Midfield,€1.541.762.00,€0
Khéphren Thuram,Juventus,Serie_A,68.3,69.3,24.0,"France, Guadeloupe","1,92m",right,€40.000.000,"Jun 30, 2029",Central Midfield,€3.700.000.00,€0
Riqui Puig,LA_Galaxy,MLS,67.5,64.2,25.0,Spain,"1,69m",right,€20.000.000,"Dec 31, 2027",Central Midfield,€3.530.700.00,€0
Carles Gil,NE_Revolution,MLS,67.3,53.4,32.0,Spain,"1,71m",left,€2.500.000,"Dec 31, 2026",Attacking Midfield,€3.530.700.00,€0
Djordje Mihailovic,Colorado_Rapids,MLS,67.2,57.6,26.0,"United States, Serbia","1,78m",,€4.000.000,"Dec 31, 2027",Attacking Midfield,€1.191.611.00,€0
Malik Tillman,PSV_Eindhoven,Eredivisie,67.1,68.2,22.0,"United States, Germany","1,87m",right,€30.000.000,"Jun 30, 2028",Attacking Midfield,€300.000.00,€0
Morgan Gibbs-White,Nottingham_Forest,EPL,66.6,68.9,25.0,"England, Jamaica","1,71m",right,€50.000.000,"Jun 30, 2027",Attacking Midfield,,
Levi Smans,Heerenveen,Eredivisie,66.5,60.4,22.0,Netherlands,"1,75m",right,€1.800.000,"Jun 30, 2028",Attacking Midfield,€180.000.00,€0
Hicham Boudaoui,Nice,Ligue_1,66.3,82.2,25.0,Algeria,"1,75m",right,€10.000.000,"Jun 30, 2027",Central Midfield,€600.000.00,€0
Justin Kluivert,Bournemouth,EPL,66.0,66.0,25.0,"Netherlands, Suriname","1,72m",both,€35.000.000,"Jun 30, 2028",Attacking Midfield,€4.933.637.00,€0
Lucas Paquetá,West_Ham_United,EPL,65.7,70.8,27.0,"Brazil, Portugal","1,80m",left,€35.000.000,"Jun 30, 2027",Attacking Midfield,€9.250.570.00,€100.807.492
Jude Bellingham,Real_Madrid,La_Liga,65.3,84.4,21.0,"England, Ireland","1,86m",right,€180.000.000,"Jun 30, 2029",Attacking Midfield,€20.830.000.00,€1.000.000.000
Habib Diarra,Strasbourg,Ligue_1,64.9,57.9,21.0,"Senegal, France","1,78m",right,€20.000.000,"Jun 30, 2028",Central Midfield,€1.280.000.00,€0
Weston McKennie,Juventus,Serie_A,64.3,62.4,26.0,United States,"1,85m",right,€24.000.000,"Jun 30, 2026",Central Midfield,€3.210.000.00,€0
Jan Schöppner,Heidenheim,Bundesliga,64.2,75.3,25.0,Germany,"1,90m",right,€4.500.000,"Jun 30, 2028",Central Midfield,€480.000.00,€0
James Maddison,Tottenham_Hotspur,EPL,64.1,66.3,28.0,England,"1,75m",right,€50.000.000,"Jun 30, 2028",Attacking Midfield,€10.483.979.00,€0
Teun Koopmeiners,Juventus,Serie_A,64.1,63.4,27.0,Netherlands,"1,84m",left,€40.000.000,"Jun 30, 2029",Attacking Midfield,€5.770.000.00,€0
