Player;Team;League;Guardian;Deep_Distributor;Enforcer;Age;Nationality;Height;Foot;Market Value;Contract Until;Annual Salary;Release Clause
Patrick Mainka;Heidenheim;Bundesliga;99.0;75.1;99.0;30.0;Germany;1,94m;right;3.000.000,00 €;Jun 30, 2027;€750.000.00;0,00 €
Mario Gila;Lazio;Serie_A;99.0;86.5;89.7;24.0;Spain;1,85m;right;28.000.000,00 €;Jun 30, 2027;€1.280.000.00;0,00 €
Yerry Mina;Cagliari;Serie_A;99.0;65.7;96.4;30.0;Colombia;1,95m;right;3.000.000,00 €;Jun 30, 2025;€1.920.000.00;0,00 €
Marco Friedl;Werder_Bremen;Bundesliga;98.9;67.1;86.1;27.0;Austria;1,87m;left;10.000.000,00 €;Jun 30, 2028;€1.350.000.00;0,00 €
Nico Schlotterbeck;Dortmund;Bundesliga;98.2;92.9;89.9;25.0;Germany;1,91m;left;40.000.000,00 €;Jun 30, 2027;€4.720.000.00;0,00 €
Isak Hien;Atalanta;Serie_A;97.8;62.2;87.0;26.0;Sweden, Burkina Faso;1,91m;right;30.000.000,00 €;Jun 30, 2028;€1.670.000.00;0,00 €
Gautier Lloris;Le_Havre;Ligue_1;97.5;76.9;93.5;29.0;France;1,91m;left;3.000.000,00 €;Jun 30, 2026;€540.000.00;0,00 €
Jhon Lucumí;Bologna;Serie_A;97.0;77.3;88.7;26.0;Colombia;1,87m;left;18.000.000,00 €;Jun 30, 2026;€960.000.00;0,00 €
Sam Beukema;Bologna;Serie_A;97.0;92.0;87.5;26.0;Netherlands;1,88m;right;25.000.000,00 €;Jun 30, 2027;€900.000.00;0,00 €
Benedikt Gimber;Heidenheim;Bundesliga;97.0;62.4;79.6;28.0;Germany;1,87m;left;3.000.000,00 €;Jun 30, 2028;€1.500.000.00;0,00 €
Leonardo Balerdi;Marseille;Ligue_1;96.6;83.6;97.4;26.0;Argentina, Italy;1,87m;right;20.000.000,00 €;Jun 30, 2028;€4.200.000.00;0,00 €
Marc Guéhi;Crystal_Palace;EPL;95.9;83.1;85.7;24.0;England, Cote d'Ivoire;1,82m;right;45.000.000,00 €;Jun 30, 2026;;
Berat Djimsiti;Atalanta;Serie_A;95.4;73.9;87.3;32.0;Albania, Switzerland;1,90m;right;8.000.000,00 €;Jun 30, 2026;€1.480.000.00;0,00 €
Diogo Leite;Union_Berlin;Bundesliga;95.1;77.8;95.4;26.0;Portugal;1,90m;left;17.000.000,00 €;-;€340.000.00;0,00 €
James Tarkowski;Everton;EPL;94.6;78.8;89.1;32.0;England, Poland;1,85m;right;10.000.000,00 €;Jun 30, 2026;€6.167.047.00;0,00 €
Alessio Romagnoli;Lazio;Serie_A;94.4;64.8;78.5;30.0;Italy;1,85m;left;12.000.000,00 €;Jun 30, 2027;€5.190.000.00;0,00 €
Facundo Medina;Lens;Ligue_1;94.4;89.5;96.2;25.0;Argentina;1,84m;left;25.000.000,00 €;Jun 30, 2028;€1.640.000.00;0,00 €
William Saliba;Arsenal;EPL;94.2;88.7;84.0;24.0;France, Cameroon;1,92m;right;80.000.000,00 €;Jun 30, 2027;€11.717.389.00;0,00 €
Johan Vásquez;Genoa;Serie_A;93.0;72.2;91.1;26.0;Mexico;1,85m;left;12.000.000,00 €;Jun 30, 2027;€1.030.000.00;0,00 €
Jeffrey Gouweleeuw;Augsburg;Bundesliga;92.6;69.7;86.5;33.0;Netherlands;1,88m;right;1.500.000,00 €;Jun 30, 2026;€1.230.000.00;0,00 €
Mark McKenzie;Toulouse;Ligue_1;92.3;73.6;86.0;26.0;United States, Jamaica;1,84m;right;6.000.000,00 €;Jun 30, 2027;€1.540.000.00;0,00 €
Charlie Cresswell;Toulouse;Ligue_1;91.4;66.6;88.3;22.0;England;1,90m;right;7.000.000,00 €;Jun 30, 2028;€720.000.00;0,00 €
Murillo;Nottingham_Forest;EPL;91.2;80.7;85.6;22.0;Brazil;1,80m;left;55.000.000,00 €;Jun 30, 2029;;
Diego Coppola;Hellas_Verona;Serie_A;91.1;66.8;97.5;21.0;Italy, Netherlands;1,93m;right;7.500.000,00 €;Jun 30, 2027;€460.000.00;0,00 €
Alessandro Bastoni;Internazionale;Serie_A;91.0;88.0;79.0;26.0;Italy;1,90m;left;80.000.000,00 €;Jun 30, 2028;€10.190.000.00;0,00 €
Mattia Viti;Empoli;Serie_A;90.8;69.0;88.6;23.0;Italy;1,90m;left;6.500.000,00 €;Jun 30, 2025;€650.000.00;0,00 €
Jordan Lefort;Angers;Ligue_1;90.4;71.3;90.5;31.0;France;1,84m;left;1.200.000,00 €;Jun 30, 2026;€1.020.000.00;0,00 €
Marquinhos;Paris_Saint_Germain;Ligue_1;90.2;86.1;77.8;30.0;Brazil, Portugal;1,83m;right;40.000.000,00 €;Jun 30, 2028;€13.450.000.00;0,00 €
Alessandro Buongiorno;Napoli;Serie_A;90.0;64.3;85.0;25.0;Italy;1,90m;left;45.000.000,00 €;Jun 30, 2029;€4.630.000.00;0,00 €
Amir Rrahmani;Napoli;Serie_A;89.9;91.3;86.3;31.0;Kosovo, Albania;1,92m;right;12.000.000,00 €;Jun 30, 2027;€3.210.000.00;0,00 €
Willian Pacho;Paris_Saint_Germain;Ligue_1;89.6;72.4;93.8;23.0;Ecuador;1,87m;left;45.000.000,00 €;Jun 30, 2029;€4.540.000.00;0,00 €
Nicolas Pallois;Nantes;Ligue_1;89.4;63.6;85.8;37.0;France;1,89m;left;0,00 €;Jun 30, 2025;€1.320.000.00;0,00 €
Calvin Bassey;Fulham;EPL;89.4;77.1;82.3;25.0;Nigeria, England;1,85m;left;25.000.000,00 €;Jun 30, 2027;€2.775.171.00;0,00 €
Strahinja Pavlović;Milan;Serie_A;89.4;62.5;71.0;23.0;Serbia;1,94m;left;18.000.000,00 €;Jun 30, 2028;€3.150.000.00;0,00 €
Saba Goglichidze;Empoli;Serie_A;89.0;65.0;79.6;20.0;Georgia;1,92m;right;8.000.000,00 €;Jun 30, 2027;€150.000.00;0,00 €
Tuta;Eintracht_Frankfurt;Bundesliga;89.0;64.2;85.7;25.0;Brazil;1,85m;right;15.000.000,00 €;Jun 30, 2026;€1.500.000.00;0,00 €
Andrea Carboni;Monza;Serie_A;88.7;61.6;73.0;24.0;Italy;1,87m;left;3.400.000,00 €;Jun 30, 2027;€930.000.00;0,00 €
Ko Itakura;Monchengladbach;Bundesliga;88.4;58.9;77.5;28.0;Japan;1,88m;right;12.000.000,00 €;Jun 30, 2026;€1.890.000.00;13.500.000,00 €
Maxence Lacroix;Crystal_Palace;EPL;88.2;71.2;94.8;25.0;France, Guadeloupe;1,90m;right;22.000.000,00 €;Jun 30, 2029;;
