Player,Team,League,Pivot_Master,Maestro,Box_to_Box,Age,Nationality,Height,Foot,Market Value,Contract Until,Position,Annual Salary,Release Clause
Moisés Caicedo,Chelsea,EPL,99.0,95.8,89.2,23.0,Ecuador,"1,78m",right,€80.000.000,"Jun 30, 2031",Defensive Midfield,€9.250.570.00,€0
Morten Frendrup,Genoa,Serie_A,99.0,74.9,87.8,24.0,Denmark,"1,78m",right,€20.000.000,"Jun 30, 2028",Central Midfield,€1.030.000.00,€0
Elisha Owusu,Auxerre,Ligue_1,98.9,71.1,79.5,27.0,"Ghana, France","1,82m",right,€3.000.000,"Jun 30, 2027",Defensive Midfield,€720.000.00,€0
Ryan Gravenberch,Liverpool,EPL,97.3,88.4,92.3,22.0,"Netherlands, Suriname","1,90m",right,€70.000.000,"Jun 30, 2028",Defensive Midfield,€9.250.570.00,€0
Senne Lynen,Werder_Bremen,Bundesliga,96.7,70.9,83.4,26.0,Belgium,"1,85m",right,€9.000.000,-,Defensive Midfield,€1.100.000.00,€0
Andrey Santos,Strasbourg,Ligue_1,95.5,82.8,87.8,21.0,Brazil,"1,80m",right,€25.000.000,"Jun 30, 2025",Central Midfield,€900.000.00,€0
Cristian Cásseres Jr.,Toulouse,Ligue_1,95.1,79.5,92.5,25.0,Venezuela,"1,76m",right,€5.000.000,"Jun 30, 2027",Central Midfield,,
Kaishu Sano,Mainz_05,Bundesliga,93.9,75.7,95.0,24.0,Japan,"1,76m",right,€17.000.000,"Jun 30, 2028",Defensive Midfield,€470.000.00,€0
Christian Nørgaard,Brentford,EPL,91.5,77.3,79.3,31.0,Denmark,"1,87m",right,€12.000.000,"Jun 30, 2027",Defensive Midfield,€2.466.819.00,€0
Nicolò Rovella,Lazio,Serie_A,91.3,83.4,92.4,23.0,Italy,"1,79m",right,€28.000.000,"Jun 30, 2025",Defensive Midfield,€3.700.000.00,€50.000.000
Carlos Baleba,Brighton_and_Hove_Albion,EPL,91.1,76.0,85.6,21.0,Cameroon,"1,79m",left,€35.000.000,"Jun 30, 2028",Defensive Midfield,€770.881.00,€0
Anton Stach,Hoffenheim,Bundesliga,90.8,73.8,82.9,26.0,Germany,"1,94m",right,€14.000.000,"Jun 30, 2027",Defensive Midfield,€1.900.000.00,€0
Lewis Cook,Bournemouth,EPL,90.4,81.7,85.8,28.0,England,"1,75m",right,€15.000.000,"Jun 30, 2028",Central Midfield,€3.700.228.00,€0
Azor Matusiwa,Rennes,Ligue_1,90.4,78.2,85.9,27.0,"Netherlands, Angola","1,73m",right,€10.000.000,"Jun 30, 2028",Defensive Midfield,€1.300.000.00,€0
André,Wolverhampton_Wanderers,EPL,90.0,72.0,74.1,23.0,Brazil,"1,76m",right,€25.000.000,"Jun 30, 2029",Defensive Midfield,,
João Gomes,Wolverhampton_Wanderers,EPL,89.4,77.0,84.8,24.0,Brazil,"1,76m",right,€40.000.000,"Jun 30, 2030",Central Midfield,€4.316.933.00,€0
Pedri,Barcelona,La_Liga,89.3,99.0,93.9,22.0,Spain,"1,74m",right,€120.000.000,"Jun 30, 2030",Central Midfield,€12.500.000.00,€1.000.000.000
Marten de Roon,Atalanta,Serie_A,88.8,94.0,81.2,34.0,Netherlands,"1,85m",right,€7.000.000,"Jun 30, 2026",Defensive Midfield,€1.850.000.00,€0
Tom Bischof,Hoffenheim,Bundesliga,88.7,71.6,91.3,19.0,Germany,"1,76m",left,€25.000.000,"Jun 30, 2025",Central Midfield,€140.000.00,€0
Alexis Mac Allister,Liverpool,EPL,88.5,79.8,77.2,26.0,"Argentina, Italy","1,76m",right,€90.000.000,"Jun 30, 2028",Central Midfield,€9.250.570.00,€0
Johnny Cardoso,Real_Betis,La_Liga,88.4,70.8,77.8,23.0,"United States, Italy","1,86m",right,€20.000.000,"Jun 30, 2030",Defensive Midfield,,
