Player,Valverde_Score,Top_3_Profiles,Top_3_Ratings,Number_of_High_Ratings,All_High_Rating_Profiles
Antonee Robinson,98.63,"Advanced_Wingback, Overlapping_Runner, Sentinel_Fullback","99.0, 99.0, 97.9",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Maximilian Mittelstädt,97.67,"Overlapping_Runner, Sentinel_Fullback, Advanced_Wingback","99.0, 97.7, 96.3",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Florian Wirtz,95.77,"Box_to_Box, Diez, Space_Invader","99.0, 97.7, 90.6",3,"Diez, Space_Invader, Box_to_Box"
Pedri,95.63,"Maestro, Diez, Box_to_Box","99.0, 94.0, 93.9",5,"Diez, Space_Invader, Pivot_Master, Maestro, Box_to_Box"
Vanderson,95.2,"Overlapping_Runner, Advanced_Wingback, Sentinel_Fullback","99.0, 94.2, 92.4",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Romano Schmid,95.07,"Diez, Box_to_Box, Space_Invader","99.0, 96.7, 89.5",3,"Diez, Space_Invader, Box_to_Box"
Bruno Fernandes,95.0,"Diez, Space_Invader, Maestro","98.8, 94.7, 91.5",5,"Diez, Space_Invader, Pivot_Master, Maestro, Box_to_Box"
Alejandro Grimaldo,94.9,"Advanced_Wingback, Overlapping_Runner, Sentinel_Fullback","97.8, 94.5, 92.4",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Moisés Caicedo,94.67,"Pivot_Master, Maestro, Box_to_Box","99.0, 95.8, 89.2",3,"Pivot_Master, Maestro, Box_to_Box"
Aaron Wan-Bissaka,94.3,"Overlapping_Runner, Advanced_Wingback, Sentinel_Fullback","96.8, 96.2, 89.9",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Kylian Mbappé,93.77,"Lethal_Striker, Aerial_Dominator, Falso_Nueve","99.0, 98.3, 84.0",3,"Falso_Nueve, Aerial_Dominator, Lethal_Striker"
Nico Schlotterbeck,93.67,"Guardian, Deep_Distributor, Enforcer","98.2, 92.9, 89.9",3,"Guardian, Deep_Distributor, Enforcer"
Facundo Medina,93.37,"Enforcer, Guardian, Deep_Distributor","96.2, 94.4, 89.5",3,"Guardian, Deep_Distributor, Enforcer"
Virgil van Dijk,93.0,"Deep_Distributor, Enforcer, Guardian","99.0, 96.5, 83.5",3,"Guardian, Deep_Distributor, Enforcer"
Viktor Gyökeres,92.73,"Aerial_Dominator, Lethal_Striker, Falso_Nueve","99.0, 94.9, 84.3",3,"Falso_Nueve, Aerial_Dominator, Lethal_Striker"
Ryan Gravenberch,92.67,"Pivot_Master, Box_to_Box, Maestro","97.3, 92.3, 88.4",3,"Pivot_Master, Maestro, Box_to_Box"
Leonardo Balerdi,92.53,"Enforcer, Guardian, Deep_Distributor","97.4, 96.6, 83.6",3,"Guardian, Deep_Distributor, Enforcer"
Dodô,92.47,"Advanced_Wingback, Sentinel_Fullback, Overlapping_Runner","99.0, 91.6, 86.8",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
